| hour |  stock   |       VWAP |
--------------------------------
|   17 |   AAPL   |   165.4936 |
|   17 |   ACIU   |     3.8400 |
|   17 |   ADBE   |   244.9631 |
|   17 |   AGN    |   143.5100 |
|   17 |   ALB    |    79.2400 |
|   17 |   AMD    |    23.2426 |
|   17 |   AMGN   |   184.8700 |
|   17 |   AMZN   |  1684.8292 |
|   17 |   APRN   |     1.4746 |
|   17 |   ATVI   |    46.4000 |
|   17 |   AVGO   |   271.5000 |
|   17 |   BABA   |   166.9651 |
|   17 |   BBF    |    12.9900 |
|   17 |   BKNG   |  1818.0100 |
|   17 |   BMY    |    48.7900 |
|   17 |   BOX    |    20.1400 |
|   17 |   BWFG   |    28.6700 |
|   17 |   CDNS   |    47.7500 |
|   17 |   CEPU   |     9.9200 |
|   17 |   CGC    |    48.0558 |
|   17 |   CGNX   |    44.1600 |
|   17 |   CHKP   |   110.9100 |
|   17 |   CIBR   |    25.7300 |
|   17 |  CMCSA   |    35.4800 |
|   17 |   CMD    |    81.0100 |
|   17 |   CREE   |    50.0200 |
|   17 |   CRM    |   149.6151 |
|   17 |   CRON   |    18.4900 |
|   17 |   CRUS   |    38.0000 |
|   17 |   CTRP   |    32.4900 |
|   17 |   CVS    |    66.0000 |
|   17 |   DWT    |     9.2100 |
|   17 |   EEM    |    42.7876 |
|   17 |    FB    |   167.2251 |
|   17 |   FIVE   |   123.3200 |
|   17 |   FSLR   |    50.5200 |
|   17 |    GE    |     9.2322 |
|   17 |   GEVO   |     2.6200 |
|   17 |   GILD   |    69.8400 |
|   17 |   GNW    |     4.7156 |
|   17 |   GOOG   |  1105.8697 |
|   17 |  GOOGL   |  1115.0554 |
|   17 |   INTC   |    47.6100 |
|   17 |   IRDM   |    19.4900 |
|   17 |   IWM    |   147.8600 |
|   17 |   JACK   |    80.5100 |
|   17 |   JBLU   |    18.2600 |
|   17 |    JD    |    24.5541 |
|   17 |   KHC    |    46.8600 |
|   17 |   LIFE   |     0.5116 |
|   17 |   LVS    |    59.6500 |
|   17 |    MA    |   204.5505 |
|   17 |   MAR    |   113.8700 |
|   17 |   MLNX   |    92.0090 |
|   17 |    MO    |    47.6700 |
|   17 |   MSFT   |   102.7716 |
|   17 |    MU    |    38.2800 |
|   17 |   NFLX   |   341.0358 |
|   17 |   NOK    |     6.6400 |
|   17 |   NOW    |   209.3410 |
|   17 |   NTES   |   243.8200 |
|   17 |   NUE    |    60.0100 |
|   17 |   NVDA   |   137.2679 |
|   17 |   OCX    |     5.1500 |
|   17 |   PCAR   |    65.5800 |
|   17 |   PEP    |   110.9900 |
|   17 |   PPDF   |     3.4400 |
|   17 |   PPL    |    30.9800 |
|   17 |   PTCT   |    29.8800 |
|   17 |   PULM   |     0.1691 |
|   17 |   PYPL   |    87.8613 |
|   17 |   QCOM   |    51.3959 |
|   17 |   QQQ    |   166.4425 |
|   17 |   QTT    |     9.5500 |
|   17 |   ROKU   |    44.1000 |
|   17 |   SCYX   |     1.1917 |
|   17 |   SLAB   |    77.4400 |
|   17 |   SLM    |    10.5200 |
|   17 |   SPOT   |   137.9100 |
|   17 |   SPY    |   267.9195 |
|   17 |    SQ    |    71.3195 |
|   17 |   SQQQ   |    12.9466 |
|   17 |   STML   |    10.8100 |
|   17 |   SVA    |     6.5500 |
|   17 |   TLRY   |    77.9300 |
|   17 |   TMUS   |    68.7300 |
|   17 |   TQQQ   |    45.6253 |
|   17 |   TRVN   |     1.0800 |
|   17 |   TSLA   |   303.4111 |
|   17 |   TVIX   |    42.8112 |
|   17 |   TWLO   |   104.1300 |
|   17 |   TWNK   |    11.5900 |
|   17 |   TWTR   |    33.2115 |
|   17 |   UGAZ   |    38.7500 |
|   17 |   USLV   |    81.3700 |
|   17 |   UVXY   |    55.9500 |
|   17 |   UWT    |    14.0975 |
|   17 |    V     |   136.3572 |
|   17 |   VALE   |    12.5000 |
|   17 |   VRNS   |    59.9800 |
|   17 |   WIX    |   107.4300 |
|   17 |   WYNN   |   125.7193 |
|   17 |    X     |    20.9560 |
|   17 |   YRD    |    11.1200 |
